  ,Title ,Authors,Year,Journal,Publisher (IEEE/ACM/Elsevier/Springer),DOI,URL,Type (journal/conference/survey/experiment),,,,,BibTeX
,Adversarial attacks for speaker recognition system with FGSM-CNN and FGSM-DNN,Mokdad Yacine Abdelhakim; Debyeche Mohamed Krobba Ahmed,2025,https://ieeexplore.ieee.org/document/10894089,IEEE,10.1109/ICTIS62692.2024.10894089,,Confrence ,,,,,"@INPROCEEDINGS{10894089,
  author={Abdelhakim, Mokdad Yacine and Krobba Ahmed, Debyeche Mohamed},
  booktitle={2024 International Conference on Telecommunications and Intelligent Systems (ICTIS)}, 
  title={Adversarial attacks for speaker recognition system with FGSM-CNN and FGSM-DNN}, 
  year={2024},
  volume={},
  number={},
  pages={1-6},
  keywords={Threat modeling;Performance evaluation;Error analysis;Personal voice assistants;Speaker recognition;Psychoacoustic models;Telecommunications;Security;Convolutional neural networks;Speech processing;Adversarial attacks;speaker recognition;FGSM;CNN;DNN;IBM;EER;PLDA;Cosine},
  doi={10.1109/ICTIS62692.2024.10894089}}"
,Intrusion Detection Classification Method based on Generative Adversarial Networks,Yan Lu,2023,https://ieeexplore.ieee.org/document/10229791,IEEE,10.1109/ICFEICT59519.2023.00064,,Confrence ,,,,,"@INPROCEEDINGS{10229791,
  author={Lu, Yan},
  booktitle={2023 3rd International Conference on Frontiers of Electronics, Information and Computation Technologies (ICFEICT)}, 
  title={Intrusion Detection Classification Method based on Generative Adversarial Networks}, 
  year={2023},
  volume={},
  number={},
  pages={344-349},
  keywords={Training;Deep learning;Intrusion detection;Training data;Network intrusion detection;Network security;Generative adversarial networks;Deep learning;Generate adversarial networks;Intrusion detection},
  doi={10.1109/ICFEICT59519.2023.00064}}
"
,PPATF: A Privacy-Preserving Adversarial Training Framework to Enhance the Robustness of Lightweight Intrusion Detection Models,Wonjun Han; Soojin Lee,2025,https://ieeexplore.ieee.org/document/11263865,IEEE,10.1109/ACCESS.2025.3635667,,Journal,,,,,"@ARTICLE{11263865,
  author={Han, Wonjun and Lee, Soojin},
  journal={IEEE Access}, 
  title={PPATF: A Privacy-Preserving Adversarial Training Framework to Enhance the Robustness of Lightweight Intrusion Detection Models}, 
  year={2025},
  volume={13},
  number={},
  pages={199227-199246},
  keywords={Training;Robustness;Data models;Computational modeling;Intrusion detection;Accuracy;Smoothing methods;Training data;Feature extraction;Computational efficiency;Intrusion detection;adversarial training;data smoothing;differential privacy;model ensemble;lightweight model design},
  doi={10.1109/ACCESS.2025.3635667}}
"
,Improving the Robustness of DNNs-based Network Intrusion Detection Systems through Adversarial Training,Eufemia Lella; Nicola Macchiarulo; Andrea Pazienza; Domenico Lofù; Agostino Abbatecola; Pietro Noviello,2023,https://ieeexplore.ieee.org/document/10193009,IEEE,10.23919/SpliTech58164.2023.10193009,,Confrence ,,,,,"@INPROCEEDINGS{10193009,
  author={Lella, Eufemia and Macchiarulo, Nicola and Pazienza, Andrea and Lofù, Domenico and Abbatecola, Agostino and Noviello, Pietro},
  booktitle={2023 8th International Conference on Smart and Sustainable Technologies (SpliTech)}, 
  title={Improving the Robustness of DNNs-based Network Intrusion Detection Systems through Adversarial Training}, 
  year={2023},
  volume={},
  number={},
  pages={1-6},
  keywords={Training;Deep learning;System performance;Network intrusion detection;Telecommunication traffic;Robustness;Ransomware;Network Intrusion Detection Systems;Adversarial Attacks;Deep Learning;Adversarial Training;Cybersecurity},
  doi={10.23919/SpliTech58164.2023.10193009}}
"
,Assessing adversarial training effect on IDSs and GANs,Hassan Chaitou; Thomas Robert; Jean Leneutre; Laurent Pautet,2021,https://ieeexplore.ieee.org/document/9527949,IEEE,10.1109/CSR51186.2021.9527949,,Confrence ,,,,,"@INPROCEEDINGS{9527949,
  author={Chaitou, Hassan and Robert, Thomas and Leneutre, Jean and Pautet, Laurent},
  booktitle={2021 IEEE International Conference on Cyber Security and Resilience (CSR)}, 
  title={Assessing adversarial training effect on IDSs and GANs}, 
  year={2021},
  volume={},
  number={},
  pages={543-550},
  keywords={Training;Sociology;Intrusion detection;Telecommunication traffic;Generators;Robustness;Frequency measurement;Adversarial machine learning;GAN;Intrusion Detection System;Sensitivity analysis},
  doi={10.1109/CSR51186.2021.9527949}}
"
,Assessing the Resilience of Automotive Intrusion Detection Systems to Adversarial Manipulation,"Stefano Longari, Paolo Cerracchio, Michele Carminati, Stefano Zanero",2025,https://dl.acm.org/doi/10.1145/3737294,ACM ,10.1145/3737294,,Journal,,,,,"@article{10.1145/3737294,
author = {Longari, Stefano and Cerracchio, Paolo and Carminati, Michele and Zanero, Stefano},
title = {Assessing the Resilience of Automotive Intrusion Detection Systems to Adversarial Manipulation},
year = {2025},
issue_date = {July 2025},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {9},
number = {3},
issn = {2378-962X},
url = {https://doi.org/10.1145/3737294},
doi = {10.1145/3737294},
abstract = {The security of modern vehicles has become increasingly important, with the controller area network (CAN) bus serving as a critical communication backbone for various electronic control units (ECUs). The absence of robust security measures in CAN, coupled with the increasing connectivity of vehicles, makes them susceptible to cyberattacks. While intrusion detection systems (IDSs) have been developed to counter such threats, they are not foolproof. Adversarial attacks, particularly evasion attacks, can manipulate inputs to bypass detection by IDSs. This article extends our previous work by investigating the feasibility and impact of gradient-based adversarial attacks performed with different degrees of knowledge against automotive IDSs. We consider three scenarios: white-box (attacker with full system knowledge), grey-box (partial system knowledge), and—the more realistic—black-box (no knowledge of the IDS’s internal workings or data). We evaluate the effectiveness of the proposed attacks against state-of-the-art IDSs on two publicly available datasets. Additionally, we study the effect of the adversarial perturbation on the attack impact and evaluate real-time feasibility by precomputing evasive payloads for timed injection based on bus traffic. Our results demonstrate that, besides attacks being challenging due to the automotive domain constraints, their effectiveness is strongly dependent on the dataset quality, the target IDS, and the attacker’s degree of knowledge.},
journal = {ACM Trans. Cyber-Phys. Syst.},
month = aug,
articleno = {31},
numpages = {27},
keywords = {Automotive Security, Intrusion Detection Systems, Evasion Attacks}
}"
,Modeling Realistic Adversarial Attacks against Network Intrusion Detection Systems,"Giovanni Apruzzese, Mauro Andreolini, Luca Ferretti, Mirco Marchetti, Michele Colajanni",2022,https://dl.acm.org/doi/10.1145/3469659,ACM ,,,Journal,,,,,"@article{10.1145/3469659,
author = {Apruzzese, Giovanni and Andreolini, Mauro and Ferretti, Luca and Marchetti, Mirco and Colajanni, Michele},
title = {Modeling Realistic Adversarial Attacks against Network Intrusion Detection Systems},
year = {2022},
issue_date = {September 2022},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {3},
number = {3},
url = {https://doi.org/10.1145/3469659},
doi = {10.1145/3469659},
abstract = {The incremental diffusion of machine learning algorithms in supporting cybersecurity is creating novel defensive opportunities but also new types of risks. Multiple researches have shown that machine learning methods are vulnerable to adversarial attacks that create tiny perturbations aimed at decreasing the effectiveness of detecting threats. We observe that existing literature assumes threat models that are inappropriate for realistic cybersecurity scenarios, because they consider opponents with complete knowledge about the cyber detector or that can freely interact with the target systems. By focusing on Network Intrusion Detection Systems based on machine learning, we identify and model the real capabilities and circumstances required by attackers to carry out feasible and successful adversarial attacks. We then apply our model to several adversarial attacks proposed in literature and highlight the limits and merits that can result in actual adversarial attacks. The contributions of this article can help hardening defensive systems by letting cyber defenders address the most critical and real issues and can benefit researchers by allowing them to devise novel forms of adversarial attacks based on realistic threat models.},
journal = {Digital Threats},
month = feb,
articleno = {31},
numpages = {19},
keywords = {NIDS, evasion, adversarial attacks, network intrusion detection, Cybersecurity}
}"
,Intrusion Detection Based on Federated Learning: A Systematic Review,"Jose Luis Hernandez-Ramos, Georgios Karopoulos, Efstratios Chatzoglou, Vasileios Kouliaridis, Enrique Marmol, Aurora Gonzalez-Vidal, Georgios KambourakisAuthors",2025,https://dl.acm.org/doi/10.1145/3731596,ACM ,,,Survey ,,,,,"@article{10.1145/3731596,
author = {Hernandez-Ramos, Jose Luis and Karopoulos, Georgios and Chatzoglou, Efstratios and Kouliaridis, Vasileios and Marmol, Enrique and Gonzalez-Vidal, Aurora and Kambourakis, Georgios},
title = {Intrusion Detection Based on Federated Learning: A Systematic Review},
year = {2025},
issue_date = {December 2025},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {57},
number = {12},
issn = {0360-0300},
url = {https://doi.org/10.1145/3731596},
doi = {10.1145/3731596},
abstract = {The evolution of cybersecurity is closely linked to the development and improvement of artificial intelligence (AI). As a key tool for realizing more cybersecure ecosystems, Intrusion Detection Systems (IDSs) have evolved tremendously in recent years by integrating machine learning (ML) techniques to detect increasingly sophisticated cybersecurity attacks hidden in big data. However, traditional approaches rely on centralized learning, in which data from end nodes are shared with data centers for analysis. Recently, the application of federated learning (FL) in this context has attracted great interest to come up with collaborative intrusion detection approaches where data does not need to be shared. Due to the recent rise of this field, this work presents a complete, contemporary taxonomy for FL-enabled IDS approaches that stems from a comprehensive survey of the literature from 2018 to 2022. Precisely, our discussion includes an analysis of the main ML models, datasets, aggregation functions, as well as implementation libraries employed by the proposed FL-enabled IDS approaches. On top of everything else, we provide a critical view of the current state of the research around this topic, and describe the main challenges and future directions based on the analysis of the literature and our own experience in this area.},
journal = {ACM Comput. Surv.},
month = jul,
articleno = {309},
numpages = {65},
keywords = {Federated Learning, Intrusion Detection Systems, Cybersecurity, Machine Learning, Taxonomy, Aggregation Methods, Distributed Intelligence}
}"
,Federated Learning-based Information Leakage Risk Detection for Secure Medical Internet of Things,"Tingting Wang, Tao Tang, Zhen Cai, Kai Fang, Jinyu Tian, Jianqing Li, Wei Wang, Feng Xia",2024,https://dl.acm.org/doi/10.1145/3639466,ACM ,,,Journal,,,,,"@article{10.1145/3639466,
author = {Wang, Tingting and Tang, Tao and Cai, Zhen and Fang, Kai and Tian, Jinyu and Li, Jianqing and Wang, Wei and Xia, Feng},
title = {Federated Learning-based Information Leakage Risk Detection for Secure Medical Internet of Things},
year = {2024},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
issn = {1533-5399},
url = {https://doi.org/10.1145/3639466},
doi = {10.1145/3639466},
abstract = {The Medical Internet of Things (MIoT) requires extreme information and communication security, particularly for remote consultation systems. MIoT’s integration of physical and computational components creates a seamless network of medical devices providing high-quality care via continuous monitoring and treatment. However, traditional security methods such as cryptography cannot prevent privacy compromise and information leakage caused by security breaches. To solve this issue, this paper proposes a novel Federated Learning Intrusion Detection System (FLIDS). FLIDS combines Generative Adversarial Network (GAN) and Federated Learning (FL) to detect cyber attacks like Denial of Service (DoS), data modification, and data injection using machine learning. FLIDS shows exceptional performance with over 99\% detection accuracy and 1\% False Positive Rate (FPR). It saves bandwidth by transmitting 3.8 times fewer bytes compared to central data collection. These results prove FLIDS’ effectiveness in detecting and mitigating security threats in Medical Cyber-Physical Systems (MCPS). The paper recommends scaling up FLIDS to use computing resources from multiple mobile devices for better intrusion detection accuracy and efficiency while reducing the burden on individual devices in MIoT.},
note = {Just Accepted},
journal = {ACM Trans. Internet Technol.},
month = jan,
keywords = {Patient Data., False Positive Rate, Training Accuracy, Dataset Construction, Discriminator Network, Data Leakage, GAN-based Privacy Protection, Medical Internet of Things, Intrusion Detection System, Federated Learning}
}"
,Towards realistic problem-space adversarial attacks against machine learning in network intrusion detection,"Marta Catillo, Antonio Pecchia, Antonio Repola, Umberto Villano",2024,https://dl.acm.org/doi/10.1145/3664476.3669974,ACM ,,,,,,,,"@inproceedings{10.1145/3664476.3669974,
author = {Catillo, Marta and Pecchia, Antonio and Repola, Antonio and Villano, Umberto},
title = {Towards realistic problem-space adversarial attacks against machine learning in network intrusion detection},
year = {2024},
isbn = {9798400717185},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3664476.3669974},
doi = {10.1145/3664476.3669974},
abstract = {Current trends in network intrusion detection systems (NIDS) capitalize on the extraction of features from network traffic and the use of up-to-date machine and deep learning techniques to infer a detection model; in consequence, NIDS can be vulnerable to adversarial attacks. Differently from the plethora of contributions that apply (and misuse) feature-level attacks envisioned in application domains far from NIDS, this paper proposes a novel approach to adversarial attacks, which consists in a realistic problem-space perturbation of the network traffic. The perturbation is achieved through a traffic control utility. Experiments are based on normal and Denial of Service traffic in both legitimate and adversarial conditions, and the application of four popular techniques to learn the NIDS models. The results highlight the transferability of the adversarial examples generated by the proposed problem-space attack as well as the effectiveness at inducing traffic misclassifications across the NIDS models obtained.},
booktitle = {Proceedings of the 19th International Conference on Availability, Reliability and Security},
articleno = {113},
numpages = {8},
keywords = {Denial of Service, adversarial examples, intrusion detection, machine learning, supervised learning},
location = {Vienna, Austria},
series = {ARES '24}
}"
,CodingCare: AI Code Generation Security Framework for Common Vulnerability Mitigation,"Zhiguo Ding, Songyang Wu, Yilin Zhang, Tao Yang, Yingna Li, Zhuhua Li, Hang Shao, Yicong Shi",2025,https://dl.acm.org/doi/10.1145/3732945.3732990,ACM ,,,,,,,,"@inproceedings{10.1145/3732945.3732990,
author = {Ding, Zhiguo and Wu, Songyang and Zhang, Yilin and Yang, Tao and Li, Yingna and Li, Zhuhua and Shao, Hang and Shi, Yicong},
title = {CodingCare: AI Code Generation Security Framework for Common Vulnerability Mitigation},
year = {2025},
isbn = {9798400715204},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3732945.3732990},
doi = {10.1145/3732945.3732990},
abstract = {This article provides a comprehensive review of code generation LLMs (Large Language Models) focusing on security issues and possible solutions to software development workflows. Recent literature suggests that more than 70\% of developers are using AI programming assistants in their day-to-day activities. Code generated by AI contains a plethora of serious vulnerabilities such as Cross-site scripting (XSS), SQL injection vulnerabilities, and unsafe credentials which impact the overall security of software systems. Most of the research, thus far, has focused on either the fine-tuning of larger models, working with the methods for optimal prompting, or looking at security evaluations to detect outcomes in coding LLMs, rather than exploring generative models with an overall design of a security framework. To contribute, we develop an overall security framework for code LLMs including prompt libraries, bibliography databases, vulnerability databases, repositories of programming use-cases for several ways through the software development life-cycles, including requirement analysis, code development, code vetting changes, code iteration, and code submission. We developed an experimental system and we will use it to conduct comparative experiments with three code LLMs including Deepseek-coder-7B, Mistral-7B, and Code Llama-7B. The results of this research indicate that our proposed security framework reduces the number of CVEs reported. This research lays a groundwork for projects that lead to other research issues related to software security LLMs considerations.},
booktitle = {Proceedings of the 2025 4th International Conference on Intelligent Systems, Communications and Computer Networks},
pages = {307–312},
numpages = {6},
keywords = {AI code generation, Common vulnerability, Large language model, Security framework},
location = {
},
series = {ISCCN '25}
}"
,LAMPS '25: ACM CCS Workshop on Large AI Systems and Models with Privacy and Security Analysis,"Kwok-Yan Lam, Xiaoning Liu, Derui Wang, Bo Li, Wenyuan Xu, Jieshan Chen, Minhui Xue, Xingliang Yuan, Guangdong Bai, Shuo Wang",2025,https://dl.acm.org/doi/10.1145/3719027.3767670,ACM ,,,,,,,,"@inproceedings{10.1145/3719027.3767670,
author = {Lam, Kwok-Yan and Liu, Xiaoning and Wang, Derui and Li, Bo and Xu, Wenyuan and Chen, Jieshan and Xue, Minhui and Yuan, Xingliang and Bai, Guangdong and Wang, Shuo},
title = {LAMPS '25: ACM CCS Workshop on Large AI Systems and Models with Privacy and Security Analysis},
year = {2025},
isbn = {9798400715259},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3719027.3767670},
doi = {10.1145/3719027.3767670},
abstract = {With large AI systems and models (LAMs) playing an ever-growing role across diverse applications, their impact on the privacy and cybersecurity of critical infrastructure has become a pressing concern. The LAMPS workshop is dedicated to tackling these emerging challenges, promoting dialogue on cutting-edge developments and ethical issues in safeguarding LAMs within critical infrastructure contexts. Bringing together leading experts from around the world, this workshop will delve into the complex privacy and cybersecurity risks posed by LAMs in critical sectors. Attendees will explore innovative solutions, exchange best practices, and contribute to shaping the future research agenda, emphasizing the crucial balance between advancing AI technologies and securing critical digital and physical infrastructures.},
booktitle = {Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security},
pages = {4914–4915},
numpages = {2},
keywords = {ai systems and models, critical infrastructure, privacy, security},
location = {Taipei, Taiwan},
series = {CCS '25}
}"
,Adversarial Attacks and Defenses in Deep Learning: From a Perspective of Cybersecurity,"Shuai Zhou, Chi Liu, Dayong Ye, Tianqing Zhu, Wanlei Zhou, Philip S. Yu",2022,https://dl.acm.org/doi/10.1145/3547330,ACM ,,,,,,,,"@article{10.1145/3547330,
author = {Zhou, Shuai and Liu, Chi and Ye, Dayong and Zhu, Tianqing and Zhou, Wanlei and Yu, Philip S.},
title = {Adversarial Attacks and Defenses in Deep Learning: From a Perspective of Cybersecurity},
year = {2022},
issue_date = {August 2023},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {55},
number = {8},
issn = {0360-0300},
url = {https://doi.org/10.1145/3547330},
doi = {10.1145/3547330},
abstract = {The outstanding performance of deep neural networks has promoted deep learning applications in a broad set of domains. However, the potential risks caused by adversarial samples have hindered the large-scale deployment of deep learning. In these scenarios, adversarial perturbations, imperceptible to human eyes, significantly decrease the model’s final performance. Many papers have been published on adversarial attacks and their countermeasures in the realm of deep learning. Most focus on evasion attacks, where the adversarial examples are found at test time, as opposed to poisoning attacks where poisoned data is inserted into the training data. Further, it is difficult to evaluate the real threat of adversarial attacks or the robustness of a deep learning model, as there are no standard evaluation methods. Hence, with this article, we review the literature to date. Additionally, we attempt to offer the first analysis framework for a systematic understanding of adversarial attacks. The framework is built from the perspective of cybersecurity to provide a lifecycle for adversarial attacks and defenses.},
journal = {ACM Comput. Surv.},
month = dec,
articleno = {163},
numpages = {39},
keywords = {advanced persistent threats, cybersecurity, adversarial attacks and defenses, Deep learning}
}"
,Arms Race in Adversarial Malware Detection: A Survey,"Deqiang Li, Qianmu Li, Yanfang (Fanny) Ye, Shouhuai Xu",2021,https://dl.acm.org/doi/10.1145/3484491,ACM ,,,,,,,,"@article{10.1145/3484491,
author = {Li, Deqiang and Li, Qianmu and Ye, Yanfang (Fanny) and Xu, Shouhuai},
title = {Arms Race in Adversarial Malware Detection: A Survey},
year = {2021},
issue_date = {January 2023},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {55},
number = {1},
issn = {0360-0300},
url = {https://doi.org/10.1145/3484491},
doi = {10.1145/3484491},
abstract = {Malicious software (malware) is a major cyber threat that has to be tackled with Machine Learning (ML) techniques because millions of new malware examples are injected into cyberspace on a daily basis. However, ML is vulnerable to attacks known as adversarial examples. In this article, we survey and systematize the field of Adversarial Malware Detection (AMD) through the lens of a unified conceptual framework of assumptions, attacks, defenses, and security properties. This not only leads us to map attacks and defenses to partial order structures, but also allows us to clearly describe the attack-defense arms race in the AMD context. We draw a number of insights, including: knowing the defender’s feature set is critical to the success of transfer attacks; the effectiveness of practical evasion attacks largely depends on the attacker’s freedom in conducting manipulations in the problem space; knowing the attacker’s manipulation set is critical to the defender’s success; and the effectiveness of adversarial training depends on the defender’s capability in identifying the most powerful attack. We also discuss a number of future research directions.},
journal = {ACM Comput. Surv.},
month = nov,
articleno = {15},
numpages = {35},
keywords = {poisoning attacks, evasion attacks, adversarial machine learning, Malware detection}
}"
